taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Maxomys_rajah,Maxomys_rajah,T,3,0.382333462,0.032577855,0.10104981,0.620154314,5.010635294,0.384711091
Maxomys_surifer,Maxomys_surifer,T,3,0.538115194,-0.014179437,0.217874668,0.993669055,5.039805671,0.555969183
Maxomys_whiteheadi,Maxomys_whiteheadi,T,3,-0.670021856,-0.404376578,0.26266275,-0.687147279,3.895283681,-0.544975695
Melasmothrix_naso,Melasmothrix_naso,T,3,-0.762827994,-1.054152102,0.480652298,-0.687147279,3.860729711,-0.496044811
Melomys_burtoni,Melomys_burtoni,C,2,-0.15627359,0.549321343,0.168388535,-0.313632538,4.382026635,-0.300321278
Melomys_capensis,Melomys_capensis,C,2,0.009451656,1.01629094,-0.072778062,-0.313632538,4.605170186,-0.300321278
Melomys_cervinipes,Melomys_cervinipes,A,1,-0.100755633,0.186876918,-0.397883163,-0.126875168,4.787491743,-0.137218333
Melomys_leucogaster,Melomys_leucogaster,C,2,0.100600542,-0.013576117,-0.393811519,-0.612444331,4.723752902,0.123746379
Melomys_rufescens,Melomys_rufescens,A,1,-0.211791548,0.030013745,-0.568265797,-1.098013494,4.158883083,-0.197566422
Mesembriomys_gouldii,Mesembriomys_gouldii,A,1,3.116800036,0.84871884,0.17621862,4.915573833,6.684611728,2.472428786
Mesembriomys_macrourus,Mesembriomys_macrourus,A,1,2.304746326,1.01704509,-0.554484849,0.993669055,5.703782475,1.656914061
Micaelamys_namaquensis,Micaelamys_namaquensis,T,3,-0.327799221,1.29909714,0.552689074,-0.014820745,3.945457782,-0.667302904
Microhydromys_richardsonii,Microhydromys_richardsonii,T,3,-1.073562832,0.157766733,0.615329748,-1.75166429,2.264883226,-1.066905119
Micromys_minutus,Micromys_minutus,A,1,-1.383469044,-0.10935315,-0.040204911,-1.994448871,1.960094784,-1.327869831
Millardia_kathleenae,Millardia_kathleenae,T,3,-0.107384643,-0.229262979,-0.979188622,0.340018258,4.532599493,-0.014891124
Millardia_meltada,Millardia_meltada,T,3,-0.504296609,-0.020966786,-0.266024543,0.620154314,4.207226719,-0.47157937
Mus_baoulei,Mus_baoulei,T,3,-1.624599278,-2.116749264,-0.497481835,-1.807691501,2.219203484,-1.345811154
Mus_booduga,Mus_booduga,T,3,-1.392583932,-1.154001544,-0.347144216,-0.537741382,2.616665639,-1.189232327
Mus_bufo,Mus_bufo,T,3,-1.35778163,-0.089896083,0.187180738,-1.471528234,2.265921109,-1.305035418
Mus_callewaerti,Mus_callewaerti,T,3,-1.369382398,-2.47300966,-1.422058192,-1.564906919,2.210469804,-0.972305411
Mus_caroli,Mus_caroli,T,3,-1.200342646,0.108596161,0.599356376,-1.060662019,2.660259537,-1.18107718
Mus_cookii,Mus_cookii,T,3,-1.028817015,-0.192158805,-0.184278462,-0.873904649,3.072693315,-0.957626146
Mus_crociduroides,Mus_crociduroides,T,3,-0.750398601,0.991856485,0.786965196,-1.24741939,3.356897123,-0.942946881
Mus_haussa,Mus_haussa,T,3,-1.749721839,-0.995328413,0.743743131,-2.031800345,1.098612289,-1.610037925
Mus_indutus,Mus_indutus,T,3,-1.687574872,-0.876474394,1.423707653,-1.620934131,1.874874376,-1.552951895
Mus_mahomet,Mus_mahomet,T,3,-1.477932434,-0.834242001,0.193444805,-1.471528234,2.317473705,-1.327869831
Mus_mattheyi,Mus_mattheyi,T,3,-1.727348931,-1.12383555,0.469376976,-2.031800345,2.253394849,-1.572524248
Mus_minutoides,Mus_minutoides,T,3,-1.682603114,-1.075720788,0.325616628,-2.087827557,1.928618652,-1.526855423
Mus_musculoides,Mus_musculoides,T,3,-1.143167436,-0.293969037,-0.083113773,-1.116689231,2.290512512,-1.055487913
Mus_musculus,Mus_musculus,C,2,-1.138195678,-0.04992614,0.030265848,-1.116689231,2.836150204,-1.09300159
Mus_neavei,Mus_neavei,T,3,-1.422414477,-2.977385091,-2.233254927,-1.620934131,2.079441542,-0.972305411
Mus_pahari,Mus_pahari,T,3,-1.026331137,-0.204828523,0.246062972,-1.060662019,3.161246712,-0.952733057
Mus_setulosus,Mus_setulosus,T,3,-1.338723227,-1.433941975,-1.419865768,-1.471528234,2.414126468,-1.086477472
Mus_sorella,Mus_sorella,T,3,-1.650286691,-1.509658621,0.031205458,-1.658285605,2.251291799,-1.443672921
Mus_spretus,Mus_spretus,T,3,-0.804259306,-2.889300386,-3.231434076,-1.284770864,2.747911735,-0.142111421
Mus_tenellus,Mus_tenellus,T,3,-1.712433659,-1.248873598,0.516670686,-2.06915182,2.249184316,-1.543165718
