name,state
Pseudomys_fieldi,3
Pseudomys_fumeus,3
Pseudomys_glaucus,3
Pseudomys_gouldii,3
Pseudomys_gracilicaudatus,3
Pseudomys_hermannsburgensis,3
Pseudomys_higginsi,3
Pseudomys_johnsoni,3
Pseudomys_laborifex,3
Pseudomys_nanus,3
Pseudomys_novaehollandiae,3
Pseudomys_occidentalis,3
Pseudomys_oralis,3
Pseudomys_patrius,3
Pseudomys_pilligaensis,3
Pseudomys_shortridgei,3
Rattus_adustus,3
Rattus_arfakiensis,3
Rattus_arrogans,3
Rattus_baluensis,3
Rattus_blangorum,3
Rattus_bontanus,3
Rattus_burrus,3
Rattus_colletti,3
Rattus_dentus,3
Rattus_elaphinus,3
Rattus_enganus,3
Rattus_facetus,3
Rattus_feliceus,3
Rattus_giluwensis,3
Rattus_hainaldi,3
Rattus_hoogerwerfi,3
Rattus_jobiensis,3
Rattus_koopmani,3
Rattus_korinchi,3
Rattus_leucopus,3
Rattus_lugens,3
Rattus_lutreolus,3
Rattus_marmosurus,3
Rattus_mindorensis,3
Rattus_mollicomulus,3
Rattus_montanus,3
Rattus_mordax,3
Rattus_nativitatis,3
Rattus_nikenii,3
Rattus_niobe,3
Rattus_omichlodes,3
Rattus_osgoodi,3
Rattus_pelurus,3
Rattus_pococki,3
Rattus_praetor,3
Rattus_pyctoris,3
Rattus_ranjiniae,3
Rattus_richardsoni,3
Rattus_salocco,3
Rattus_sanila,3
Rattus_simalurensis,3
Rattus_sordidus,3
Rattus_stoicus,3
Rattus_tawitawiensis,3
Rattus_timorensis,3
Rattus_tunneyi,3
Rattus_vandeuseni,3
Rattus_verecundus,3
Rattus_villosissimus,3
Rattus_xanthurus,3
Rhabdomys_dilectus,3
Rhynchomys_banahao,3
Rhynchomys_isarogensis,3
Rhynchomys_soricoides,3
Rhynchomys_tapulao,3
Saxatilomys_paulinae,3
Soricomys_leonardocoi,3
Soricomys_montanus,3
Soricomys_musseri,3
Srilankamys_ohiensis,3
Stenocephalemys_albocaudata,3
Stenocephalemys_griseicauda,3
Stenocephalemys_ruppi,3
Sundamys_infraluteus,3
Sundamys_maxi,3
Sundamys_muelleri,3
Taeromys_arcuatus,3
Taeromys_callitrichus,3
Taeromys_hamatus,3
Taeromys_microbullatus,3
Taeromys_punicans,3
Taeromys_spnov,3
Taeromys_taerae,3
Tarsomys_apoensis,3
Tarsomys_echinatus,3
Tateomys_macrocercus,3
Tateomys_rhinogradoides,3
Thallomys_shortridgei,3
Tokudaia_muenninki,3
Tokudaia_osimensis,3
Tokudaia_tokunoshimensis,3
Tryphomys_adustus,3
Uromys_boeadii,3
Uromys_imperator,3
Uromys_porculus,3
Xenuromys_barbatus,3
Xeromys_myoides,3
Zelotomys_hildegardeae,3
Zyzomys_argurus,3
Zyzomys_maini,3
Zyzomys_palatalis,3
Zyzomys_pedunculatus,3
Zyzomys_woodwardi,3
Baiyankamys_habbema,4
Bandicota_bengalensis,4
Colomys_goslingi,4
Crossomys_moncktoni,4
Dasymys_foxi,4
Hydromys_chrysogaster,4
Hydromys_neobrittanicus,4
Hydromys_ziegleri,4
Malacomys_cansdalei,4
Malacomys_edwardsi,4
Malacomys_longipes,4
Nilopegamys_plumbeus,4
Parahydromys_asper,4
Waiomys_mamasae,4
